Incident energy ; σ(E)
1.0E-5 ; 47486.97
1.0625E-5 ; 46069.31
1.125E-5 ; 44771.49
1.1875E-5 ; 43577.54
1.25E-5 ; 42474.3
1.375E-5 ; 40497.97
1.5E-5 ; 38774.16
1.625E-5 ; 37253.3
1.75E-5 ; 35898.45
1.875E-5 ; 34681.47
2.0E-5 ; 33580.45
2.1875E-5 ; 32109.43
2.375E-5 ; 30816.25
2.5625E-5 ; 29667.76
2.75E-5 ; 28638.83
2.9375E-5 ; 27710.08
3.125E-5 ; 26866.23
3.3125E-5 ; 26095.09
3.5E-5 ; 25386.79
3.875E-5 ; 24127.7
4.25E-5 ; 23039.2
4.625E-5 ; 22085.94
5.0E-5 ; 21242.06
5.3125E-5 ; 20608.22
5.625E-5 ; 20027.97
5.9375E-5 ; 19494.16
6.25E-5 ; 19000.92
6.875E-5 ; 18117.35
7.5E-5 ; 17346.69
8.125E-5 ; 16666.79
8.75E-5 ; 16061.12
9.375E-5 ; 15517.09
1.0E-4 ; 15024.92
1.0625E-4 ; 14576.85
1.125E-4 ; 14166.67
1.1875E-4 ; 13789.33
1.25E-4 ; 13440.67
1.375E-4 ; 12816.11
1.5E-4 ; 12271.38
1.625E-4 ; 11790.8
1.75E-4 ; 11362.72
1.875E-4 ; 10978.21
2.0E-4 ; 10630.35
2.1875E-4 ; 10165.63
2.375E-4 ; 9757.13
2.5625E-4 ; 9394.357
2.75E-4 ; 9069.376
2.9375E-4 ; 8776.054
3.125E-4 ; 8509.566
3.3125E-4 ; 8266.057
3.5E-4 ; 8042.406
3.875E-4 ; 7644.882
4.25E-4 ; 7301.262
4.625E-4 ; 7000.378
5.0E-4 ; 6734.054
5.3125E-4 ; 6534.041
5.625E-4 ; 6350.96
5.9375E-4 ; 6182.552
6.25E-4 ; 6026.957
6.875E-4 ; 5748.281
7.5E-4 ; 5505.271
8.125E-4 ; 5290.926
8.75E-4 ; 5100.027
9.375E-4 ; 4928.594
0.001 ; 4773.534
0.0010625 ; 4632.4
0.001125 ; 4503.228
0.0011875 ; 4384.421
0.00125 ; 4274.665
0.001375 ; 4078.113
0.0015 ; 3906.746
0.001625 ; 3755.614
0.00175 ; 3621.032
0.001875 ; 3500.19
0.002 ; 3390.903
0.0021875 ; 3244.96
0.002375 ; 3116.738
0.0025625 ; 3002.93
0.00275 ; 2901.035
0.0029375 ; 2809.114
0.003125 ; 2725.645
0.0033125 ; 2649.407
0.0035 ; 2579.412
0.003875 ; 2455.056
0.00425 ; 2347.616
0.004625 ; 2253.587
0.005 ; 2170.417
0.0053125 ; 2108.005
0.005625 ; 2050.921
0.0059375 ; 1998.451
0.00625 ; 1950.005
0.006875 ; 1863.292
0.0075 ; 1787.719
0.008125 ; 1721.09
0.00875 ; 1661.79
0.009375 ; 1608.588
0.01 ; 1560.53
0.010625 ; 1516.854
0.01125 ; 1476.948
0.011875 ; 1440.303
0.0125 ; 1406.497
0.01375 ; 1346.04
